doc_id,source,investigation_num,chunk_id,chunk_length,title,creator,modified,occurence_date,release_date
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_0,151,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_1,151,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_2,131,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_3,130,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_4,129,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_5,130,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_6,148,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_7,138,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_8,122,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_9,119,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_10,135,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_11,143,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_12,141,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_13,138,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_14,144,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
0,https://tsb.gc.ca/eng/enquetes-investigations/rail/2024/r24w0021/r24w0021.html,R24W0021,0_15,134,Railway Investigation Report R00C0159 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-03-17,19 December 2000,04 February 2002
